ts_code,vol
000016.SZ,1
000423.SZ,1
000425.SZ,1
000545.SZ,1
000677.SZ,1
000818.SZ,1
000880.SZ,1
000936.SZ,1
000950.SZ,1
001266.SZ,1
002055.SZ,1
002058.SZ,1
002281.SZ,1
002379.SZ,1
002396.SZ,1
002404.SZ,1
002478.SZ,1
002491.SZ,1
002515.SZ,1
002616.SZ,1
002632.SZ,1
002656.SZ,1
002730.SZ,1
002847.SZ,1
002885.SZ,1
002908.SZ,1
002991.SZ,1
430139.BJ,1
600094.SH,1
600223.SH,1
600456.SH,1
600490.SH,1
600513.SH,1
600621.SH,1
600667.SH,1
600771.SH,1
600789.SH,1
600877.SH,1
601113.SH,1
601898.SH,1
603042.SH,1
603126.SH,1
603306.SH,1
603328.SH,1
603380.SH,1
603421.SH,1
603610.SH,1
603613.SH,1
603629.SH,1
603868.SH,1
603890.SH,1
603912.SH,1
603982.SH,1
605003.SH,1
873223.BJ,1
