,trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
0,20241216,000001.SZ,平安银行,银行,深圳,4.24,194.06,194.06,57459.88,0.0,87.53,807.15,4.16,1.94,21.67,0.53,19910403,2398.99,12.36,-12.58,0.24,42.9,35.61,517695
1,20241216,000002.SZ,万 科Ａ,全国地产,深圳,0.0,97.17,119.31,13571.8,10162.76,205.43,254.71,2.13,-1.51,19.62,0.42,19910129,756.73,6.34,-24.25,-231.73,9.5,-7.46,627280
2,20241216,000004.SZ,国华网安,软件服务,深圳,0.0,1.26,1.32,3.85,2.87,0.02,12.32,9.31,-0.27,1.21,17.03,19910114,-12.18,-9.2,-5.78,-1.78,72.96,-49.25,43880
3,20241216,000006.SZ,深振业Ａ,区域地产,深圳,0.0,13.5,13.5,208.89,166.86,0.62,4.84,0.36,-0.39,4.78,1.79,19920427,24.36,1.8,482.14,-42613.0,7.66,-13.1,68571
4,20241216,000007.SZ,全新好,其他商业,深圳,618.5,3.46,3.46,3.32,2.14,0.46,1.57,0.45,0.01,0.37,20.32,19920413,-3.17,-0.91,0.6,-70.72,18.97,1.06,10917
5,20241216,000008.SZ,神州高铁,运输设备,北京,0.0,26.86,27.16,104.2,46.68,4.7,26.2,0.96,-0.07,1.24,2.56,19920507,-20.43,-0.75,-16.71,-23.69,28.82,-18.45,156379
6,20241216,000009.SZ,中国宝安,电气设备,深圳,48.29,25.51,25.79,525.43,300.83,116.13,14.89,0.58,0.15,3.93,2.45,19910625,57.5,2.23,-40.28,-43.2,27.29,6.26,171013
7,20241216,000010.SZ,美丽生态,建筑工程,深圳,0.0,5.26,11.5,30.54,22.3,0.08,20.85,1.81,-0.06,0.19,17.26,19951027,-28.88,-2.51,44.1,63.17,16.57,-25.26,42981
8,20241216,000011.SZ,深物业A,房产服务,深圳,1205.77,5.26,5.96,161.17,142.51,0.55,0.8,0.14,0.01,7.51,1.29,19920330,36.9,6.19,-45.71,-98.45,20.24,-0.43,40688
9,20241216,000012.SZ,南 玻Ａ,玻璃,深圳,16.28,19.59,30.71,319.1,97.05,135.31,5.91,0.19,0.26,4.58,1.21,19920228,88.25,2.87,-12.19,-46.38,19.07,6.53,142015
10,20241216,000014.SZ,沙河股份,全国地产,深圳,49.33,2.42,2.42,22.36,18.6,0.2,0.1,0.04,0.19,6.83,1.86,19920602,11.13,4.6,-73.51,-90.53,49.42,14.39,28544
