,ts_code,slope5,slope10,slope20,slope30,slope54
5,000008.SZ,-0.0350000000000001,-0.0415151515151515,0.0330150375939849,0.0263648498331479,0.0188961311225461
7,000010.SZ,-0.0490000000000006,-0.0470303030303029,0.0194436090225563,0.0141179087875416,0.0249498761196874
9,000012.SZ,-0.0420000000000004,-0.0327272727272725,0.0008646616541352,0.0013058954393769,0.0012609109967599
10,000014.SZ,-0.0560000000000011,-0.0817575757575754,0.0395864661654135,0.0563047830923247,0.0540331618067465
12,000017.SZ,-0.0530000000000003,-0.0504848484848483,0.0226240601503757,0.0169788654060064,0.0218959405374499
14,000020.SZ,-0.0030000000000007,-0.0670909090909095,0.012150375939849,0.0026740823136816,0.0013390508862204
17,000026.SZ,-0.0600000000000016,-0.0167272727272727,0.0399774436090224,0.0327630700778642,0.0243060796645699
22,000031.SZ,-0.1510000000000002,-0.0002424242424241,0.0252481203007518,0.0170389321468297,0.00852487135506
30,000042.SZ,-0.0650000000000011,-0.0486060606060605,0.0122781954887216,0.017452725250278,0.0124978082713931
31,000045.SZ,-0.0010000000000021,-0.084969696969697,0.026586466165413,0.0278687430478307,0.0520278254240517
35,000055.SZ,-0.0390000000000001,-0.0269696969696966,0.0030676691729322,0.0066763070077862,0.0102553840289689
37,000058.SZ,-0.1130000000000015,-0.0861818181818177,0.0105187969924812,0.0197908787541709,0.0460297312750141
40,000061.SZ,-0.0700000000000004,-0.0561212121212117,0.0019924812030075,0.035730812013348,0.0324680769963788
45,000068.SZ,-0.0650000000000001,-0.0163636363636362,0.0241353383458645,0.0128320355951055,0.0115010482180293
51,000090.SZ,-0.0369999999999999,-0.0298181818181819,0.0008045112781954,0.0023159065628474,0.0068157042119306
56,000153.SZ,-0.0440000000000005,-0.0387272727272723,0.0060225563909773,0.0108253615127919,0.016920144844673
57,000155.SZ,-0.1080000000000015,-0.0765454545454541,0.046864661654135,0.022258064516129,0.0116253097007812
70,000404.SZ,-0.041000000000001,-0.0147272727272726,0.0268796992481203,0.0027385984427138,0.0085839527348959
71,000407.SZ,-0.0490000000000004,-0.0327272727272727,0.0105639097744359,0.0130344827586206,0.0124410139127119
75,000411.SZ,-0.1110000000000011,-0.0679999999999998,0.0253233082706765,0.0275483870967738,0.0246765770916712
77,000417.SZ,-0.1720000000000006,-0.0456969696969696,0.0265488721804509,0.0560689655172412,0.038498570611778
78,000419.SZ,-0.1520000000000009,-0.0178787878787879,0.033503759398496,0.0370033370411567,0.0238136077758718
79,000420.SZ,-0.0740000000000009,-0.0212727272727271,0.0241278195488721,0.0129477196885427,0.0172311797217457
85,000428.SZ,-0.0880000000000008,-0.0167878787878787,0.0215037593984961,0.0149499443826473,0.0101536115875737
87,000430.SZ,-0.0770000000000002,-0.0438181818181811,0.0352556390977442,0.0265650723025581,0.0229449209071849
95,000507.SZ,-0.0690000000000005,-0.0541212121212123,0.0110150375939848,0.0207741935483869,0.0157267009719838
96,000509.SZ,-0.0210000000000006,-0.0329696969696969,0.0116090225563909,0.0075417130144603,0.0164452067848293
97,000510.SZ,-0.0390000000000004,-0.0473333333333332,0.0100375939849622,0.0096885428253614,0.0115170573661138
