,ts_code,symbol,name,area,industry,cnspell,market,list_date,act_name,act_ent_type
0,000001.SZ,1,平安银行,深圳,银行,payh,主板,19910403,无实际控制人,无
1,000002.SZ,2,万科A,深圳,全国地产,wka,主板,19910129,深圳市人民政府国有资产监督管理委员会,地方国企
2,000004.SZ,4,国华网安,深圳,软件服务,ghwa,主板,19910114,李映彤,民营企业
3,000006.SZ,6,深振业A,深圳,区域地产,szya,主板,19920427,深圳市人民政府国有资产监督管理委员会,地方国企
4,000007.SZ,7,全新好,深圳,其他商业,qxh,主板,19920413,王玩虹,民营企业
5,000008.SZ,8,神州高铁,北京,运输设备,szgt,主板,19920507,,
6,000009.SZ,9,中国宝安,深圳,电气设备,zgba,主板,19910625,无实际控制人,无
7,000010.SZ,10,美丽生态,深圳,建筑工程,mlst,主板,19951027,,
8,000011.SZ,11,深物业A,深圳,房产服务,swya,主板,19920330,深圳市人民政府国有资产监督管理委员会,地方国企
9,000012.SZ,12,南玻A,深圳,玻璃,nba,主板,19920228,深圳市人民政府国有资产监督管理委员会,地方国企
10,000014.SZ,14,沙河股份,深圳,全国地产,shgf,主板,19920602,深圳市人民政府国有资产监督管理委员会,地方国企
11,000016.SZ,16,深康佳A,深圳,家用电器,skja,主板,19920327,,
12,000017.SZ,17,深中华A,深圳,服饰,szha,主板,19920331,王胜洪,民营企业
13,000019.SZ,19,深粮控股,深圳,农业综合,slkg,主板,19921012,深圳市人民政府国有资产监督管理委员会,地方国企
14,000020.SZ,20,深华发A,深圳,元器件,shfa,主板,19920428,李中秋,民营企业
15,000021.SZ,21,深科技,深圳,元器件,skj,主板,19940202,,
16,000025.SZ,25,特力A,深圳,综合类,tla,主板,19930621,深圳市人民政府国有资产监督管理委员会,地方国企
17,000026.SZ,26,飞亚达,深圳,服饰,fyd,主板,19930603,中国航空工业集团有限公司,中央国企
18,000027.SZ,27,深圳能源,深圳,火力发电,szny,主板,19930903,深圳市人民政府国有资产监督管理委员会,地方国企
19,000028.SZ,28,国药一致,深圳,医药商业,gyyz,主板,19930809,,
20,000029.SZ,29,深深房A,深圳,区域地产,ssfa,主板,19930915,深圳市人民政府国有资产监督管理委员会,地方国企
21,000030.SZ,30,富奥股份,吉林,汽车配件,fagf,主板,19930929,,
22,000031.SZ,31,大悦城,深圳,全国地产,dyc,主板,19931008,,
23,000032.SZ,32,深桑达A,深圳,建筑工程,ssda,主板,19931028,,
24,000034.SZ,34,神州数码,深圳,软件服务,szsm,主板,19940509,,
25,000035.SZ,35,中国天楹,江苏,环境保护,zgty,主板,19940408,,
26,000036.SZ,36,华联控股,深圳,全国地产,hlkg,主板,19940617,龚泽民,民营企业
27,000037.SZ,37,深南电A,深圳,火力发电,snda,主板,19940701,无实际控制人,无
28,000039.SZ,39,中集集团,深圳,运输设备,zjjt,主板,19940408,无实际控制人,无
29,000040.SZ,40,ST旭蓝,深圳,新型电力,stxl,主板,19940808,,
30,000042.SZ,42,中洲控股,深圳,全国地产,zzkg,主板,19940921,深圳市人民政府国有资产监督管理委员会,地方国企
31,000045.SZ,45,深纺织A,深圳,元器件,sfza,主板,19940815,深圳市人民政府国有资产监督管理委员会,地方国企
32,000048.SZ,48,京基智农,深圳,区域地产,jjzn,主板,19941101,,
