,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000001.SZ,20240102,9.39,9.42,9.21,9.21,9.39,-0.18,-1.9169,1158366.45,1075742.252
1,000002.SZ,20240102,10.44,10.48,10.15,10.15,10.46,-0.31,-2.9637,811106.29,830765.5
2,000004.SZ,20240102,16.1,16.44,16.05,16.14,16.13,0.01,0.062,28867.0,46791.154
3,000006.SZ,20240102,4.58,4.6,4.45,4.47,4.59,-0.12,-2.6144,261947.19,117663.239
4,000007.SZ,20240102,4.87,4.89,4.8,4.84,4.87,-0.03,-0.616,7274.5,3522.076
5,000008.SZ,20240102,2.36,2.39,2.34,2.38,2.36,0.02,0.8475,217665.19,51576.37
6,000009.SZ,20240102,11.76,11.78,11.66,11.69,11.74,-0.05,-0.4259,104077.22,121760.593
7,000010.SZ,20240102,3.18,3.24,3.17,3.23,3.18,0.05,1.5723,144747.0,46535.465
8,000011.SZ,20240102,8.87,8.92,8.76,8.83,8.86,-0.03,-0.3386,26515.6,23417.973
9,000012.SZ,20240102,5.55,5.61,5.54,5.58,5.57,0.01,0.1795,91309.97,51030.362
10,000014.SZ,20240102,10.99,11.88,10.9,11.32,11.01,0.31,2.8156,120146.6,136678.907
11,000016.SZ,20240102,4.35,4.35,4.03,4.03,4.17,-0.14,-3.3573,916251.4,378940.305
12,000017.SZ,20240102,4.35,4.44,4.31,4.43,4.35,0.08,1.8391,60291.0,26529.772
13,000019.SZ,20240102,7.51,7.66,7.51,7.63,7.54,0.09,1.1936,66741.26,50787.933
14,000020.SZ,20240102,12.93,13.2,12.88,12.96,12.95,0.01,0.0772,30419.0,39552.606
15,000021.SZ,20240102,16.16,16.17,15.71,15.81,16.21,-0.4,-2.4676,215444.98,341978.129
16,000025.SZ,20240102,15.92,16.14,15.81,16.05,15.91,0.14,0.8799,28348.25,45391.796
17,000026.SZ,20240102,10.96,11.12,10.95,11.03,10.96,0.07,0.6387,48927.92,54049.371
18,000027.SZ,20240102,6.29,6.42,6.28,6.31,6.45,-0.14,-2.1705,427359.61,271131.235
19,000028.SZ,20240102,29.02,30.03,28.81,29.57,28.99,0.58,2.0007,59326.67,175504.63
20,000029.SZ,20240102,11.84,11.84,11.51,11.52,11.76,-0.24,-2.0408,23528.93,27295.43
21,000030.SZ,20240102,5.35,5.42,5.3,5.38,5.34,0.04,0.7491,112106.21,60302.586
22,000031.SZ,20240102,2.96,2.98,2.92,2.92,2.97,-0.05,-1.6835,168621.64,49522.986
